row_id,protocol,security_standard,crypto_function,classical_primitive,pqc_replacement,migration_mechanism,driving_deadline,ot_specific_constraint,verify_flag,source_id
1,DNP3,IEC 62351-5 (application-layer auth for IEC 60870-5 family incl. DNP3),authentication,"Pre-shared symmetric keys (HMAC-SHA-1/SHA-256 challenge-response, legacy SAv2/v5)",FIPS 204 (ML-DSA) for cert-based auth where SAv6 adopts asymmetric identity; FIPS 203 (ML-KEM) for any key-establishment step,No native PQC negotiation defined yet; requires a new SAv6/IEC 62351-5 revision or wrapping in an IEC 62351-3 TLS tunnel that itself carries the PQC hybrid handshake,NIST IR 8547 (draft) transition timeline; EO 14412 federal HVA deadlines (2030/2031) apply directly only to federal systems but set the vendor-compliance clock utilities will inherit via FAR rules,Many deployed DNP3 masters/outstations are serial-only RTUs with fixed firmware and multi-decade service life; no in-field crypto-agility,,dnp3-sav6-overview-pdf
2,DNP3,DNP3 Secure Authentication v6 (SAv6),bulk encryption / integrity,AES-256-GCM (AEAD),FIPS 203-derived symmetric session key established via a PQC-hybrid key exchange (AES-GCM itself is not broken by Shor's algorithm and is retained post-migration),"SAv6 already uses AEAD; the migration need is in how the AES key is established (see row 3), not in the AEAD cipher itself",Same as above,AES-256-GCM is considered quantum-resistant at current key sizes (Grover's algorithm only halves effective security); this is a genuine 'no action needed' cell and should be labeled as such in the report,,dnp3-sav6-overview-pdf
3,DNP3,DNP3 Secure Authentication v6 (SAv6),key establishment / enrollment,Low-Entropy Shared Secret (LESS) enrollment; elliptic-curve options referenced for 'low overhead',FIPS 203 (ML-KEM-768 typical) replacing/hybridizing any ECDH-based enrollment step,Hybrid classical+PQC key encapsulation during device enrollment; requires updated enrollment tooling and larger key-exchange payloads over what may be a narrowband serial or cellular backhaul link,NIST IR 8547 (draft),"ML-KEM ciphertext/key sizes (~1-1.5 KB) are far larger than legacy DNP3 frame budgets on serial/low-bandwidth links; framing and fragmentation impact must be tested, not assumed",verified 2026-09-09 (author sign-off),dnp3-sav6-overview-pdf
4,IEC 60870-5-104,IEC 62351-3 (TLS profile for TCP/IP-based IEC 60870-5 family),transport authentication,"TLS 1.2/1.3 with X.509 certificates, mutual authentication (RSA or ECDSA signatures)",FIPS 204 (ML-DSA) or a composite/hybrid certificate (classical + ML-DSA) for the TLS handshake signature; FIPS 203 (ML-KEM) for the key exchange (hybrid X25519+ML-KEM as in draft IETF TLS 1.3 hybrid groups),TLS 1.3 hybrid key-exchange groups plus a PQC or composite certificate chain; requires new certificates and CA tooling across the substation PKI,"NIST IR 8547 draft timeline; OMB M-26-15 requires federal TLS endpoints to support TLS 1.3 or a successor by 2030-01-02 (federal scope, but sets the interoperability bar vendors will target)","IEC 60870-5-104 is widely used for substation-to-control-center telemetry; certificate rotation across thousands of RTUs/gateways with limited maintenance windows is the operational bottleneck, not the cryptography itself",,iec-62351-ipcomm-sheet
5,IEC 60870-5-104,IEC 62351-5 (application-layer authentication for the 60870-5 family),application authentication,Role-based access control (RBAC) token validation; statistical security-event logging,No direct 1:1 PQC primitive; RBAC tokens that embed a signature should move to FIPS 204 (ML-DSA) once token-issuing PKI is PQC-capable,Depends on IEC 62351-8 RBAC token format being revised to support PQC signature algorithms,NIST IR 8547 (draft),RBAC token verification happens on constrained field devices; ML-DSA signature sizes (~2.4-4.6 KB) are much larger than ECDSA/RSA and may exceed device buffer assumptions,verified 2026-09-09 (author sign-off),iec-62351-ipcomm-sheet
6,ICCP/TASE.2,IEC 62351-4 (MMS-based protocol security incl. ICCP/TASE.2 and IEC 61850 MMS),transport + application authentication,"TLS via IEC 62351-3, plus an MMS-layer 'SECURE' association mechanism using X.509 certificates",FIPS 204 (ML-DSA) / composite certificates for both the TLS layer and the MMS SECURE association; FIPS 203 (ML-KEM) for TLS key exchange,"Same TLS 1.3 hybrid approach as row 4, extended to the MMS association layer; inter-utility ICCP links (control-center to control-center) mean both ends' PKI must upgrade in a coordinated window",NIST IR 8547 draft; EO 14412 vendor-compliance pressure via FAR rulemaking (180-day and 270-day tracks),"ICCP links cross utility/balancing-authority trust boundaries, so PQC cert format and trust-anchor migration must be bilaterally coordinated, not just per-utility",,iec-62351-ipcomm-sheet
7,Modbus Security (Modbus/TCP over TLS),Modbus/TCP Security Protocol Specification v3.6 (port 802),transport authentication + key exchange,TLS 1.2 minimum (TLS 1.1/1.0/SSLv3 prohibited); mandatory cipher suite TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256; recommended TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256 (P-256 minimum); mutual X.509 authentication required (RFC 5280),FIPS 203 (ML-KEM) hybridized into the ECDHE key exchange; FIPS 204 (ML-DSA) or composite cert replacing/augmenting the RSA or ECDSA certificate signature,"Requires a new TLS 1.3-with-PQC-hybrid-groups cipher suite registered with IANA for Modbus/TCP Security, plus updated certificate issuance; the spec's IANA-registration requirement (R-12) means any new suite needs a formal registration step before it is standards-compliant",NIST IR 8547 draft; general TLS-ecosystem PQC hybrid rollout (already shipping in some TLS 1.3 stacks as of 2026),Modbus masters are frequently simple PLCs/gateways with minimal TLS stack footprint; adding PQC hybrid ciphersuites may require a firmware/stack upgrade the device cannot receive in place,,modbus-security-v36-pdf
8,OPC UA,OPC UA Part 2 (Security Model) / Part 7 (Profiles),transport signature + key exchange,"SecurityPolicy Basic256Sha256: asymmetric signature RSA-PKCS#1v1.5/SHA-256, asymmetric key transport RSA-OAEP, symmetric AES-256-CBC + HMAC-SHA-256; SecurityPolicy Aes256Sha256RsaPss: RSA-PSS/SHA-256 signature, RSA-OAEP-SHA-256 key transport",FIPS 204 (ML-DSA) replacing/augmenting the RSA signature in the application instance certificate; FIPS 203 (ML-KEM) replacing/augmenting RSA-OAEP for session key transport,Requires a new OPC UA SecurityPolicy URI (the OPC Foundation defines these centrally) analogous to Basic256Sha256 but naming ML-KEM/ML-DSA or a composite scheme; existing deployments negotiate down to legacy policies until every peer supports the new one,NIST IR 8547 draft; OPC Foundation's own roadmap (vendor-driven; no fixed date published as of this build),"OPC UA is the most common protocol for new SCADA/historian and IT/OT-boundary integrations in energy, so it is the highest-leverage single point to standardize a PQC SecurityPolicy for the sector",verified 2026-09-09 (author sign-off),opcua-vendor-doc-unified-automation
9,IEC 61850 (GOOSE / Sampled Values),IEC 62351-6,message integrity + authentication,X.509 signatures and VLAN tagging on GOOSE/SMV telegrams (mechanism does not specify a single fixed signature algorithm; deployments commonly use RSA or ECDSA),FIPS 204 (ML-DSA) as the signature algorithm option once 62351-6 is revised; ML-DSA's larger signature size is the dominant migration constraint,Requires an IEC 62351-6 revision naming an approved PQC or composite signature scheme sized to fit within GOOSE/SMV's sub-4ms delivery budget for protection-class messages,"NIST IR 8547 draft; no energy-sector-specific deadline yet (see Quantum-GUARD Act, row 13)",GOOSE trip/protection messages have a ~4 ms end-to-end delivery requirement; ML-DSA (~2.4-4.6 KB signatures) and even SLH-DSA (larger still) may not fit realistic frame/latency budgets without a lighter-weight or truncated PQC scheme -- this is the single hardest technical gap in the whole crosswalk,verified 2026-09-09 (author sign-off),iec-62351-ipcomm-sheet
10,IEC 61850 (MMS services),IEC 62351-4 / 62351-8,application authentication + access control,"MMS 'SECURE' association (X.509) plus RBAC access tokens (IEC 62351-8, ASN.1 syntax, attribute certificates)",FIPS 204 (ML-DSA) for both the MMS association certificate and RBAC attribute-certificate signatures,Same TLS/MMS SECURE upgrade path as ICCP (row 6); RBAC token format needs revision to carry larger PQC signatures,NIST IR 8547 draft,"Shares the substation-PKI rotation bottleneck described in rows 4 and 6, compounded by the larger device population inside a substation (relays, merging units, bay controllers)",,iec-62351-ipcomm-sheet
