event_id,date,instrument,milestone,binding_scope,energy_ot_relevance,status_as_of_2026-09-09
1,2024-08-13,FIPS 203/204/205,"NIST finalizes ML-KEM, ML-DSA, and SLH-DSA as the federal PQC algorithm standards",US federal government (all agencies); de facto global reference,Defines the target algorithms every row of the crosswalk migrates toward,Final / in force
2,2024-11-12,NIST IR 8547 (ipd),Initial public draft of the PQC transition roadmap published for comment,Guidance (non-binding until finalized),"Names the deprecation timetable federal agencies (and by extension, FAR-covered vendors) will follow; energy OT has no sector-specific annex","Draft (initial public draft); comment period closed 2025-01-10, no second draft or final observed as of this build"
3,2026-06-22,Executive Order 14412,Directs federal PQC migration; sets 30/90/180/270-day process deadlines and 2030-12-31 / 2031-12-31 outcome deadlines for high-value/high-impact federal systems,US federal government; contractor rules to follow via FAR Council,"Not directly binding on utilities, but drives CISA critical-infrastructure assistance (via Sector Risk Management Agencies) and eventual contractor/vendor compliance rules that flow into energy-sector procurement",In force
4,2026-06-24,OMB M-26-15,"Implements EO 14412 for civilian agencies: 120-day migration plan submission, TLS 1.3-or-successor by 2030-01-02, phased migration 2026-2035 (five phases)",US federal civilian agencies (explicitly excludes National Security Systems),"Federal-only, but its TLS 1.3 and phase structure is the template utilities and vendors will likely mirror voluntarily; explicitly requires agency plans to align with NIST IR 8547 'or successor document'",In force
5,~2026-12-19,"CISA CBOM guidance (per EO 14412, 180 days from 2026-06-22)",CISA to release cryptographic bill of materials guidance for critical infrastructure owners,"Guidance (critical infrastructure, incl. energy)",Directly relevant to this project's CBOM template; template should be reconciled against this guidance once published,Not yet published as of 2026-09-09 (due date has not arrived)
6,2026-08-18,"Quantum-GUARD Act of 2026 (S., Coons/Rounds)","Would direct FERC to weigh quantum risk in grid-reliability authority, DOE to run a PQC testing environment, and DOE to study quantum risk to bulk-electric-system IT/OT",Would be binding on FERC/DOE and indirectly the bulk electric system if enacted,The only proposed instrument in this timeline that names the electric grid specifically,Introduced; not enacted -- track for status changes before citing as current
7,2027,NIST IR 8547 (projected) -- early transition phase per draft guidance,Early deprecation warnings for RSA/ECDH at common key sizes begin per draft roadmap language,Guidance,Utilities beginning PKI inventory (CBOM) work now will be ahead of any eventual sector mandate,Projected from draft; re-confirm against final IR 8547 before relying on specific dates
8,2030-01-02,OMB M-26-15 milestone,Federal systems must support TLS 1.3 or a successor version,US federal civilian agencies,Sets the interoperability floor that IEC 62351-3 TLS profiles used by 104/DNP3/ICCP will need to meet to interoperate with upgraded federal/partner endpoints,Scheduled (future)
9,2030-12-31,EO 14412 milestone,All federal high-value assets/high-impact systems must complete PQC migration for key establishment,US federal government,Analogous target date energy-sector planners can use for their own key-establishment (ML-KEM) migration even though not legally binding on them,Scheduled (future)
10,2031-12-31,EO 14412 milestone,All federal high-value assets/high-impact systems must complete PQC migration for digital signatures,US federal government,Analogous target date for ML-DSA/SLH-DSA signature migration across substation and control-center PKI,Scheduled (future)
11,2035,OMB M-26-15 Phase 5,Full federal PQC migration completion target,US federal civilian agencies,"Outer bound for a fully PQC-migrated federal reference environment; energy OT, with its longer asset lifecycles, should expect to lag this by years absent a sector-specific mandate",Scheduled (future)
